‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	0.00820627	-0.00177943	-0.01273148	-0.00339002	
         0	0.00047541	0.00079753	-0.01627479	-0.00306790	
         1	-0.01208724	0.00240812	-0.01530843	0.00111965	
         2	-0.01498631	-0.00049095	-0.01530843	0.00208601	
         3	-0.01756327	-0.00210154	-0.01434208	0.00111965	
         4	-0.01949598	-0.01466419	-0.01112088	-0.00177943	
         5	-0.01112088	-0.02078446	-0.01176512	-0.00242366	
         6	-0.00628909	-0.01820751	-0.00628909	0.00015329	
         7	-0.00435638	-0.01691903	-0.00274578	0.00434084	
         8	-0.00628909	-0.00693333	0.00337448	-0.00145731	
         9	-0.01273148	0.00820627	0.00530720	-0.00274578	
        10	-0.00532274	0.04750482	0.01046111	-0.00274578	
        11	-0.00177943	0.04074032	0.00788415	-0.00306790	
        12	0.00627356	0.01593713	0.00949475	-0.00854393	
        13	0.01883621	0.00111965	0.00627356	-0.01144300	
        14	0.02109104	-0.01208724	0.00530720	-0.00693333	
        15	0.01174958	-0.01176512	0.00337448	-0.00016883	
        16	0.00595144	-0.01305360	0.00176389	0.00111965	
        17	-0.00016883	-0.00886605	-0.00564486	-0.00177943	
        18	0.00047541	0.00273024	-0.00693333	0.00434084	
        19	-0.00081307	0.01980256	-0.00886605	0.00401872	
        20	0.01529289	0.02560071	-0.01047664	-0.00274578	
        21	0.00530720	0.01207170	-0.00951029	-0.00210154	
        22	-0.00403426	0.00627356	-0.01112088	-0.00145731	
        23	-0.00306790	0.00949475	-0.01047664	-0.00145731	
        24	-0.00049095	-0.00049095	-0.01079876	0.00111965	
        25	0.00208601	-0.01434208	-0.00628909	-0.00145731	
        26	0.00015329	-0.01273148	-0.00403426	-0.00145731	
        27	0.02849978	-0.01144300	-0.00113519	0.00337448	
        28	0.03236521	-0.01724115	0.00434084	0.00562932	
        29	0.03558641	-0.01305360	0.00852839	0.00337448	
        30	0.02463435	0.02012468	0.01336018	0.00788415	
        31	0.01207170	0.02978826	0.01400442	0.00401872	
        32	0.00111965	0.00466296	0.01078323	-0.00500062	
        33	0.00015329	-0.00822181	0.00949475	-0.00628909	
        34	-0.02142870	0.02946614	0.00562932	-0.00113519	
        35	-0.03399135	0.01754773	0.00498508	0.00305236	
        36	-0.01401996	0.00401872	0.00047541	0.00111965	
        37	-0.00242366	-0.00339002	-0.00210154	0.00111965	
        38	-0.02561625	0.01368230	-0.00500062	0.00111965	
        39	-0.03946738	0.02882190	-0.00951029	0.00047541	
        40	-0.02271718	0.02753343	-0.01144300	0.00047541	
        41	-0.00177943	-0.00693333	-0.01112088	0.00047541	
        42	-0.00757757	0.00595144	-0.01208724	-0.00177943	
        43	0.00176389	-0.02432777	-0.00789969	-0.00145731	
        44	-0.00081307	-0.02722684	-0.00661121	0.00015329	
        45	-0.00274578	-0.01788539	-0.00500062	0.00111965	
        46	-0.00918817	-0.02754896	-0.00306790	0.00144177	
        47	-0.00371214	0.00498508	0.00079753	-0.00500062	
        48	0.00498508	0.01948044	0.00466296	-0.00822181	
        49	-0.00435638	-0.00016883	0.00788415	-0.00306790	
        50	-0.00113519	-0.00951029	0.00852839	-0.00339002	
        51	0.00015329	-0.01563055	0.01013899	0.00047541	
        52	0.00659567	0.00466296	0.01110534	-0.00306790	
        53	0.00047541	-0.02175082	0.00917263	-0.00661121	
        54	-0.00467850	0.02076892	0.00917263	-0.00661121	
        55	-0.00596698	0.00498508	0.00627356	-0.00628909	
